,tconst,title,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,file_name
123,tt0108052,Schindler's List,0,1993,195,"Biography,Drama,History",9.0,1312714.0,schindler's-list
124,tt0108149,Six Degrees of Separation,0,1993,112,"Comedy,Drama,Mystery",6.8,21054.0,six-degrees-of-separation
125,tt0108160,Sleepless in Seattle,0,1993,105,"Comedy,Drama,Romance",6.8,172752.0,sleepless-in-seattle
126,tt0108174,So I Married an Axe Murderer,0,1993,93,"Comedy,Romance",6.4,37927.0,so-i-married-an-axe-murderer
127,tt0108330,This Boy's Life,0,1993,115,"Biography,Drama",7.3,52205.0,this-boy's-life
128,tt0108358,Tombstone,0,1993,130,"Action,Biography,Drama",7.8,143519.0,tombstone
129,tt0108399,True Romance,0,1993,119,"Crime,Drama,Romance",7.9,222682.0,true-romance
130,tt0109040,Ace Ventura: Pet Detective,0,1994,86,Comedy,6.9,295328.0,ace-ventura:-pet-detective
131,tt0109445,Clerks,0,1994,92,Comedy,7.7,219538.0,clerks
132,tt0109450,Cobb,0,1994,128,"Biography,Drama,Sport",6.4,7634.0,cobb
133,tt0109456,Color of Night,0,1994,121,"Drama,Mystery,Romance",5.2,23995.0,color-of-night
134,tt0109686,Dumb and Dumber,0,1994,107,Comedy,7.3,376283.0,dumb-and-dumber
135,tt0109707,Ed Wood,0,1994,127,"Biography,Comedy,Drama",7.8,173873.0,ed-wood
136,tt0109830,Forrest Gump,0,1994,142,"Drama,Romance",8.8,1988548.0,forrest-gump
137,tt0109838,Freaked,0,1993,86,"Comedy,Sci-Fi",6.3,7229.0,freaked
138,tt0110005,Heavenly Creatures,0,1994,99,"Biography,Crime,Drama",7.3,63134.0,heavenly-creatures
139,tt0110097,I'll Do Anything,0,1994,115,"Comedy,Drama",5.5,2684.0,i'll-do-anything
140,tt0110265,Killing Zoe,0,1993,96,"Crime,Thriller",6.4,20504.0,killing-zoe
141,tt0110604,Mute Witness,0,1995,95,"Crime,Horror,Thriller",6.7,5716.0,mute-witness
142,tt0110632,Natural Born Killers,0,1994,119,"Action,Crime,Drama",7.2,230300.0,natural-born-killers
143,tt0110912,Pulp Fiction,0,1994,154,"Crime,Drama",8.9,1978029.0,pulp-fiction
144,tt0111127,Serial Mom,0,1994,95,"Comedy,Crime,Thriller",6.8,29302.0,serial-mom
145,tt0111280,Star Trek: Generations,0,1994,118,"Action,Adventure,Mystery",6.6,80968.0,star-trek:-generations
146,tt0111503,True Lies,0,1994,141,"Action,Comedy,Thriller",7.3,253241.0,true-lies
147,tt0112573,Braveheart,0,1995,178,"Biography,Drama,History",8.4,1014949.0,braveheart
148,tt0112641,Casino,0,1995,178,"Crime,Drama",8.2,504662.0,casino
149,tt0112697,Clueless,0,1995,97,"Comedy,Romance",6.9,207884.0,clueless
150,tt0112722,Copycat,0,1995,123,"Drama,Mystery,Thriller",6.6,58617.0,copycat
151,tt0112857,Devil in a Blue Dress,0,1995,102,"Crime,Drama,Mystery",6.7,19956.0,devil-in-a-blue-dress
152,tt0113101,Four Rooms,0,1995,98,Comedy,6.7,103706.0,four-rooms
153,tt0113161,Get Shorty,0,1995,105,"Comedy,Crime,Thriller",6.9,83002.0,get-shorty
154,tt0113243,Hackers,0,1995,105,"Crime,Drama,Romance",6.2,69098.0,hackers
155,tt0113253,Halloween: The Curse of Michael Myers,0,1995,87,"Horror,Thriller",4.7,35950.0,halloween:-the-curse-of-michael-myers
156,tt0113492,Judge Dredd,0,1995,96,"Action,Crime,Sci-Fi",5.5,116794.0,judge-dredd
157,tt0113540,Kids,0,1995,91,Drama,7.0,77695.0,kids
158,tt0113627,Leaving Las Vegas,0,1995,111,"Drama,Romance",7.5,122360.0,leaving-las-vegas
159,tt0113677,Living in Oblivion,0,1995,90,"Comedy,Drama",7.5,18397.0,living-in-oblivion
160,tt0113690,Lord of Illusions,0,1995,109,"Horror,Mystery,Thriller",6.0,17579.0,lord-of-illusions
161,tt0113820,Mighty Morphin Power Rangers: The Movie,0,1995,95,"Action,Adventure,Family",5.2,27133.0,mighty-morphin-power-rangers:-the-movie
162,tt0113972,Nick of Time,0,1995,90,"Action,Crime,Drama",6.3,41757.0,nick-of-time
163,tt0114369,Se7en,0,1995,127,"Crime,Drama,Mystery",8.6,1581306.0,se7en
164,tt0114388,Sense and Sensibility,0,1995,136,"Drama,Romance",7.7,113391.0,sense-and-sensibility
165,tt0114558,Strange Days,0,1995,145,"Crime,Drama,Sci-Fi",7.1,71116.0,strange-days
166,tt0114709,Toy Story,0,1995,81,"Adventure,Animation,Comedy",8.3,960743.0,toy-story
167,tt0115632,Basquiat,0,1996,107,"Biography,Drama",6.9,20662.0,basquiat
168,tt0115641,Beavis and Butt-Head Do America,0,1996,81,"Adventure,Animation,Comedy",6.8,55333.0,beavis-and-butt-head-do-america
169,tt0115710,Blood and Wine,0,1996,101,"Crime,Drama,Thriller",6.0,10046.0,blood-and-wine
170,tt0115734,Bottle Rocket,0,1996,91,"Comedy,Crime,Drama",6.9,75706.0,bottle-rocket
171,tt0115736,Bound,0,1996,109,"Crime,Thriller",7.3,54802.0,bound
172,tt0115759,Broken Arrow,0,1996,108,"Action,Adventure,Thriller",6.1,97512.0,broken-arrow
173,tt0115964,Crash,0,1996,100,Drama,6.4,58380.0,crash
174,tt0116225,Escape from L.A.,0,1996,101,"Action,Adventure,Sci-Fi",5.7,73977.0,escape-from-l.a.
175,tt0116282,Fargo,0,1996,98,"Crime,Thriller",8.1,662564.0,fargo
176,tt0116367,From Dusk Till Dawn,0,1996,108,"Action,Crime,Horror",7.2,307040.0,from-dusk-till-dawn
177,tt0116629,Independence Day,0,1996,145,"Action,Adventure,Sci-Fi",7.0,561888.0,independence-day
178,tt0116695,Jerry Maguire,0,1996,139,"Comedy,Drama,Romance",7.3,259324.0,jerry-maguire
179,tt0116905,Lone Star,0,1996,135,"Drama,Mystery,Western",7.4,29596.0,lone-star
180,tt0116922,Lost Highway,0,1997,134,"Mystery,Thriller",7.6,139763.0,lost-highway
181,tt0117666,Sling Blade,0,1996,135,Drama,8.0,92912.0,sling-blade
182,tt0117731,Star Trek: First Contact,0,1996,111,"Action,Adventure,Drama",7.6,123954.0,star-trek:-first-contact
183,tt0117918,Tin Cup,0,1996,135,"Comedy,Drama,Romance",6.4,49681.0,tin-cup
184,tt0117951,Trainspotting,0,1996,93,Drama,8.1,672503.0,trainspotting
185,tt0118158,White Squall,0,1996,129,"Adventure,Drama",6.6,23770.0,white-squall
186,tt0118548,Absolute Power,0,1997,121,"Action,Crime,Drama",6.7,54339.0,absolute-power
187,tt0118571,Air Force One,0,1997,124,"Action,Drama,Thriller",6.5,192717.0,air-force-one
188,tt0118583,Alien: Resurrection,0,1997,109,"Action,Horror,Sci-Fi",6.2,243023.0,alien:-resurrection
